id,type,path
-,,
light01_00,light01,resources/image/light/light01_00.png
light01_01,light01,resources/image/light/light01_01.png
light01_02,light01,resources/image/light/light01_02.png
light01_03,light01,resources/image/light/light01_03.png
light01_04,light01,resources/image/light/light01_04.png
light01_05,light01,resources/image/light/light01_05.png
light01_06,light01,resources/image/light/light01_06.png
light01_07,light01,resources/image/light/light01_07.png
light01_08,light01,resources/image/light/light01_08.png
light01_09,light01,resources/image/light/light01_09.png
light01_10,light01,resources/image/light/light01_10.png
light01_11,light01,resources/image/light/light01_11.png
light01_11,light01,resources/image/light/light01_12.png
light01_11,light01,resources/image/light/light01_13.png
light01_11,light01,resources/image/light/light01_14.png
light01_11,light01,resources/image/light/light01_15.png
-,,
light02_00,light02,resources/image/light/light02_00.png
light02_01,light02,resources/image/light/light02_01.png
light02_02,light02,resources/image/light/light02_02.png
light02_03,light02,resources/image/light/light02_03.png
light02_04,light02,resources/image/light/light02_04.png
light02_05,light02,resources/image/light/light02_05.png
light02_06,light02,resources/image/light/light02_06.png
light02_07,light02,resources/image/light/light02_07.png
light02_08,light02,resources/image/light/light02_08.png
light02_09,light02,resources/image/light/light02_09.png
light02_10,light02,resources/image/light/light02_10.png
light02_11,light02,resources/image/light/light02_11.png
light02_11,light02,resources/image/light/light02_12.png
light02_11,light02,resources/image/light/light02_13.png
light02_11,light02,resources/image/light/light02_14.png
light02_11,light02,resources/image/light/light02_15.png
-,,
light03_00,light03,resources/image/light/light03_00.png
light03_01,light03,resources/image/light/light03_01.png
light03_02,light03,resources/image/light/light03_02.png
light03_03,light03,resources/image/light/light03_03.png
light03_04,light03,resources/image/light/light03_04.png
light03_05,light03,resources/image/light/light03_05.png
light03_06,light03,resources/image/light/light03_06.png
light03_07,light03,resources/image/light/light03_07.png
light03_08,light03,resources/image/light/light03_08.png
light03_09,light03,resources/image/light/light03_09.png
light03_10,light03,resources/image/light/light03_10.png
light03_11,light03,resources/image/light/light03_11.png
light03_11,light03,resources/image/light/light03_12.png
light03_11,light03,resources/image/light/light03_13.png
light03_11,light03,resources/image/light/light03_14.png
light03_11,light03,resources/image/light/light03_15.png
-,,
light04_00,light04,resources/image/light/light04_00.png
