id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main2-1,bg,scenario00
main2-1,playBgm,character00
main2-1,talk,natsuno,人って案外
main2-1,talk,natsuno,すぐに慣れちゃうもんなんだなぁ
main2-1,talk,natsuno,......
main2-1,talk,natsuno,もうすっかり、一人でいるのに慣れちゃった
main2-1,talk,natsuno,アカネさんや、他の人たちとどんな風に暮らしてたのか、もう思い出せないや
main2-1,talk,natsuno,ははは
main2-1,fg,survivor00,right-right,0.5,serious
main2-1,talk,natsuno,また一人になったらどうしようとか
main2-1,talk,natsuno,悩んでたのがバカみたい
main2-1,talk,natsuno,......人って不思議だなぁ
main2-1,talk,natsuno,それとも......
main2-1,talk,natsuno,わたしだけなのかな
main2-1,talk,natsuno,......
main2-1,talk,natsuno,......わたしの話、してもいい？
main2-1,talk,natsuno,昔からね
main2-1,talk,natsuno,物覚えよかったり、新しい環境にすぐに慣れたり
main2-1,talk,natsuno,そういう......何かに適応？　するみたいなのは、なんかよくわかんないけど、得意だったんだ
main2-1,talk,natsuno,お父さんが転勤多くて、引っ越しとか多かったからかも
main2-1,talk,natsuno,でも、その代わり
main2-1,talk,natsuno,何か一つのことに夢中になるとか
main2-1,talk,natsuno,そういうの......あんまり、ないんだよね
main2-1,talk,natsuno,趣味っていう趣味もないし
main2-1,talk,natsuno,引っ越す前の友達の名前とか、すぐ忘れちゃうし
main2-1,talk,natsuno,はは
main2-1,pauseBgm
main2-1,talk,natsuno,......
main2-1,fg,survivor00,right-right,0.5,depress
main2-1,talk,natsuno,......逃げてる途中に
main2-1,talk,natsuno,友達と離れ離れになったときも
main2-1,talk,natsuno,お父さんとお母さんとはぐれたときも
main2-1,talk,natsuno,......すぐ、慣れちゃったもん
main2-1,talk,natsuno,......もしかしたら
main2-1,talk,natsuno,あなたのことも、そのうち忘れちゃうかも
main2-1,talk,natsuno,......薄情、だよね
main2-1,talk,natsuno,......
main2-1,fg,survivor00,right-right,0.5,serious
main2-1,talk,natsuno,......自分でも、嫌だなってときどき思うけど
main2-1,talk,natsuno,でも、同じくらい、もうそういう性格なんだなって思う
main2-1,talk,natsuno,だから、忘れちゃったらごめんね
main2-1,talk,natsuno,そしたら、あなたも
main2-1,talk,natsuno,わたしのこと、忘れていいから
main2-1,talk,natsuno,ね？
main2-1,wait,1
main2-1,end,questSuccess
-,,,
main2-2,bg,scenario00
main2-2,talk,natsuno,......ね
main2-2,talk,natsuno,すごいよ
main2-2,talk,natsuno,誰に会ったと思う？
main2-2,wait,1
main2-2,playBgm,character03
main2-2,fg,survivor03,right-left,0.5,smile
main2-2,wait,1
main2-2,talk,akane,ほんと、こっちもびっくりだよ
main2-2,talk,akane,こんなところで会うなんて
main2-2,talk,natsuno,ね
main2-2,talk,natsuno,最初見たとき、幽霊かと思っちゃったもん
main2-2,talk,akane,ははは
main2-2,talk,akane,まだ死ぬには早いね
main2-2,fg,survivor03,right-left,0.5,default
