id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main4-1,bg,scenario00
main4-1,fg,survivor03,right-left,0.5,smile
main4-1,playBgm,character00
main4-1,talk,akane,いやー
main4-1,talk,akane,まさか、ナツノちゃんまで迷子だとは思わなかったなー
main4-1,talk,akane,アタシが帰り道わかんなくなったって言ったとき、呆れてたけどさー
main4-1,talk,akane,人のこと言えないじゃーん
main4-1,fg,survivor00,right-right,0.5,zito
main4-1,talk,natsuno,......
main4-1,talk,natsuno,......わたしは、別に
main4-1,talk,natsuno,......わざとだし
main4-1,fg,survivor03,right-left,0.5,default
main4-1,talk,akane,んー？
main4-1,fg,survivor00,right-right,0.5,serious
main4-1,talk,natsuno,帰り道がわかんなくなったんじゃなくて
main4-1,talk,natsuno,もともと帰るつもり、なかったもん......
main4-1,talk,akane,ふーん
main4-1,talk,akane,ま、どっちでもいいけどねー
main4-1,talk,akane,帰り道、わかりそうにないし
main4-1,talk,akane,しばらくは、ナツノちゃんと二人旅だね
main4-1,talk,akane,ま、そーゆーのもいっか
main4-1,talk,natsuno,......
main4-1,fg,survivor03,right-left,0.5,serious
main4-1,talk,akane,......そんで
main4-1,talk,akane,なんで、一人でキャンプから出てきたわけ？
main4-1,talk,akane,アタシを探すため──
main4-1,talk,akane,じゃあ、なさそうだし？
main4-1,pauseBgm
main4-1,talk,natsuno,......
main4-1,talk,natsuno,............
main4-1,playBgm,scenario02
main4-1,fg,survivor00,right-right,0.5,doubt
main4-1,talk,natsuno,宇宙人が......私たちに何か伝えようとしてるんだって、言ってたよね
main4-1,talk,akane,......
main4-1,talk,akane,......うん
main4-1,talk,akane,言ったね、そんなこと
main4-1,talk,natsuno,......何を伝えたいんだと思う？
main4-1,talk,akane,......さー
main4-1,talk,akane,そんなのわかってたら、こんなことにならないし
main4-1,talk,akane,ま、アタシの想像だと
main4-1,talk,akane,わかりっこない
main4-1,talk,natsuno,......
main4-1,talk,akane,アタシたちには想像も理解もできない──
main4-1,talk,akane,説明されたってわかんないような、何か
main4-1,talk,natsuno,......
main4-1,talk,akane,ナツノちゃんは
main4-1,talk,akane,どう、思ってるわけ？
main4-1,talk,natsuno,......
main4-1,fg,survivor00,right-right,0.5,depress
main4-1,talk,natsuno,......もし
main4-1,talk,natsuno,もし、わたしが逆の立場だったら......
main4-1,talk,natsuno,......寂しいから、とか
main4-1,talk,natsuno,宇宙をずっと旅してたのかもしれないし
main4-1,talk,natsuno,そしたら......寂しくて、誰でもいいから、誰かに話しかけてるのかも
main4-1,talk,akane,......ナツノちゃん
main4-1,fg,survivor03,right-left,0.5,smile
main4-1,talk,akane,意外と、乙女だよね
main4-1,talk,natsuno,......
main4-1,fg,survivor00,right-right,0.5,serious
main4-1,talk,natsuno,......でも、思ったことない？
main4-1,talk,natsuno,わたしたちの世界だって、こんなことになっちゃって
main4-1,talk,natsuno,たった一人で旅なんかしてたら......
main4-1,fg,survivor03,right-left,0.5,serious
main4-1,talk,akane,......
main4-1,talk,natsuno,......アカネさんは、ずっとあの人たちと一緒だったから、わかんないか
main4-1,talk,akane,......アタシだって、ずっと誰かと一緒だったわけじゃないよ
main4-1,talk,akane,ここ何日かだって、一人だったわけだし
main4-1,talk,akane,まぁ
main4-1,talk,akane,寂しいっていうのも......わかる
main4-1,talk,natsuno,......
