id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
kiko1-1,bg,scenario00,
kiko1-1,playBgm,environment00,
kiko1-1,talk,natsuno,......あれ
kiko1-1,talk,natsuno,車のところに人がいる......
kiko1-1,talk,natsuno,車上荒らし......？
kiko1-1,talk,natsuno,......じゃ、なさそう
kiko1-1,talk,natsuno,女の子だ
kiko1-1,talk,natsuno,......
kiko1-1,talk,natsuno,ねぇ、何してるの？
kiko1-1,fg,survivor01,right-left,0.5,surprise
kiko1-1,pauseBgm
kiko1-1,talk,少女,わ！
kiko1-1,talk,少女,ごめんなさい！　違いますっ！
kiko1-1,talk,natsuno,え？　わたしは別に──
kiko1-1,talk,少女,何も盗ってません！
kiko1-1,talk,少女,まだ！
kiko1-1,fg,survivor00,right-right,0.5,zito
kiko1-1,talk,natsuno,......まだ何も言ってないのに
kiko1-1,wait,1,
kiko1-1,fadeOut,1,
kiko1-1,newPage
kiko1-1,fg,survivor00,right-right
kiko1-1,fg,survivor01,right-left
kiko1-1,playBgm,character01
kiko1-1,wait,1,
kiko1-1,fadeIn,1,
kiko1-1,talk,natsuno,......じゃあ、犬を探して、こんなところまで？
kiko1-1,talk,kiko,はい......逃げてる途中で、はぐれちゃって......
kiko1-1,talk,kiko,たぶん、この辺りにいるはずなんです......
kiko1-1,talk,kiko,......だから、決して、盗もうとしてたわけでは......
kiko1-1,talk,natsuno,............
kiko1-1,talk,natsuno,......で、親はキャンプに？
kiko1-1,talk,kiko,はい
kiko1-1,talk,natsuno,キャンプには他にも人がいるの？
kiko1-1,talk,kiko,はい。十五人くらいです、かね
kiko1-1,talk,natsuno,そういうところも、まだあるんだ......
kiko1-1,talk,natsuno,キャンプはどこに？
kiko1-1,talk,kiko,北の方......です
kiko1-1,talk,natsuno,そう......
kiko1-1,talk,kiko,............
kiko1-1,talk,kiko,......じゃあ、あたしはこれで......
kiko1-1,talk,natsuno,............
kiko1-1,talk,natsuno,......乗ってく？
kiko1-1,talk,kiko,......へ？
kiko1-1,talk,natsuno,この辺りにいるんでしょ？　その犬
kiko1-1,talk,kiko,......いいんですか？
kiko1-1,talk,natsuno,まぁ、一人旅も飽きてきたし......
kiko1-1,talk,natsuno,......や。いろいろあって一人じゃないんだけど
kiko1-1,talk,natsuno,とにかく、いいよ
kiko1-1,talk,natsuno,しばらく同行しよ
kiko1-1,fg,survivor01,right-left,0.5,smile
kiko1-1,talk,kiko,......！
kiko1-1,talk,kiko,はい！
kiko1-1,wait,1,
kiko1-1,appendSurvivor,kiko,
kiko1-1,end,questSuccess,
-,,,
kiko1-2,bg,scenario10,
kiko1-2,fg,survivor01,right-left
kiko1-2,playBgm,character01,
kiko1-2,talk,natsuno,......テキトーに歩き回ってみてるけど
kiko1-2,talk,natsuno,何かないの？　手がかりとか
kiko1-2,talk,kiko,......？
kiko1-2,fg,survivor00,right-right,0.5,zito
kiko1-2,talk,natsuno,......犬のこと、なんだけど......
kiko1-2,fg,survivor01,right-left,0.5,surprise
kiko1-2,talk,kiko,......あ！
kiko1-2,fg,survivor01,right-left,0.5,default
kiko1-2,talk,kiko,ああ......うーん......
kiko1-2,talk,natsuno,........
kiko1-2,talk,kiko,このあたりではあるんですけど......
kiko1-2,talk,kiko,......ほら、犬って歩くじゃないですか
kiko1-2,talk,natsuno,それは、そうだろうけど......
kiko1-2,talk,natsuno,なんかこう......そう、名前とか？
kiko1-2,talk,kiko,あ、ミノタローです
kiko1-2,talk,natsuno,名前呼んだら出てきてくれたりしないの？　ミノタロー！　って
kiko1-2,talk,kiko,ミノタロー！！
kiko1-2,talk,kiko,......
kiko1-2,talk,kiko,............
kiko1-2,talk,kiko,........................
kiko1-2,talk,natsuno,............
kiko1-2,fg,survivor00,right-right,0.5,default
kiko1-2,talk,natsuno,......ま、のんびり探せばいっか
kiko1-2,talk,natsuno,や、のんびりじゃだめなのかな
kiko1-2,talk,natsuno,ほっといたら死んじゃうよね
