id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main14-1,bg,scenario34
main14-1,fgClear
main14-1,hideStatus
main14-1,playBgm,environment00
main14-1,wait,5
main14-1,talk,itsuka,......
main14-1,wait,1
main14-1,fg,survivor06,right-right,1.0,depress
main14-1,talk,itsuka,......大丈夫
main14-1,talk,itsuka,......なんて
main14-1,pauseBgm
main14-1,talk,itsuka,とても、言えないけど
main14-1,talk,itsuka,でも......
main14-1,talk,itsuka,......たぶん、寝てるだけだよ
main14-1,playBgm,scenario01
main14-1,talk,itsuka,もう、一週間、目を覚ましてないけど
main14-1,talk,itsuka,目を覚ましてないだけで......
main14-1,talk,itsuka,......死んだわけじゃ......ない
main14-1,talk,itsuka,だから......
main14-1,talk,itsuka,......
main14-1,talk,itsuka,......何より
main14-1,talk,itsuka,あなたと、こうしてスマホが繋がってるんだから
main14-1,talk,itsuka,このスマホは、この子の身体を通して、あなたの世界と繋がってるんだ
main14-1,talk,itsuka,身体の中でおかしなことが起きてたって......
main14-1,talk,itsuka,生きてるから、その機能が残ってるんだ
main14-1,talk,itsuka,......
main14-1,talk,itsuka,......だから
main14-1,talk,itsuka,ナツノは......
main14-1,wait,1
main14-1,talk,itsuka,......まだ、死んでない
main14-1,wait,3
main14-1,end,questSuccess
-,,,
main14-2,bg,scenario34
main14-2,fgClear
main14-2,hideStatus
main14-2,playBgm,scenario06
main14-2,wait,3
main14-2,fg,survivor06,right-right,0.5,depress
main14-2,talk,itsuka,ナツノの中で......
main14-2,talk,itsuka,何が、起きてるんだろう
main14-2,talk,itsuka,どうして目を覚まさなくなったんだろう
main14-2,talk,itsuka,......もしかしたら
main14-2,talk,itsuka,ナツノの中で、変容が進んでるのかもしれない
main14-2,talk,itsuka,スマホと繋がる電波を出す、ナツノの変容が進行して......
main14-2,talk,itsuka,......それで
main14-2,talk,itsuka,他の感染者みたいに、意識が保てなくなったのかもしれない
main14-2,talk,itsuka,それで......ずっと眠ってるのかも
main14-2,talk,itsuka,......
main14-2,fg,survivor06,right-right,0.5,depress
main14-2,talk,itsuka,もしそうなら......
main14-2,talk,itsuka,ずっと、このまま......
main14-2,talk,itsuka,......
main14-2,wait,3
main14-2,end,questSuccess
-,,,
main14-3,bg,computer00
main14-3,wait,3
main14-3,talk,,あれから一週間。
main14-3,talk,,一週間、彼女の声を聞いていない。
main14-3,talk,,彼女は眠ったまま。
main14-3,talk,,呼んでも、応えてくれない。
main14-3,talk,,それでも──彼女の言葉が、ずっと頭の中に渦巻いている。
main14-3,wait,1
main14-3,talk,,──もう二度と、あなたと話したくない。
main14-3,wait,3
main14-3,end,questSuccess
-,,,
main14-4,bg,scenario34
main14-4,fgClear
main14-4,hideStatus
main14-4,playBgm,environment00
main14-4,wait,3
main14-4,talk,itsuka,......
main14-4,wait,1
main14-4,fg,survivor06,right-right,0.5
main14-4,talk,itsuka,......やっぱり
main14-4,talk,itsuka,十メートルっていうのは、おかしい
main14-4,talk,itsuka,ここだって、もっと......
main14-4,talk,itsuka,......
main14-4,talk,itsuka,......アカネから
main14-4,talk,itsuka,スマホが、ナツノと繋がって、あなたと通信していられるのは、
main14-4,talk,itsuka,スマホとナツノの距離が十メートルくらいまでって、聞いてたけど
main14-4,talk,itsuka,今......明らかに、十メートル以上離れてる
main14-4,talk,itsuka,どういうこと、なんだろ
main14-4,talk,itsuka,電波の届く範囲が広がってる......？
main14-4,talk,itsuka,......
main14-4,fg,survivor06,right-right,0.5,depress
main14-4,talk,itsuka,......やっぱり
main14-4,talk,itsuka,目を覚まさないのは......変容が進んだせいなのかもしれない
main14-4,talk,itsuka,......
main14-4,talk,itsuka,アカネだけじゃなくて、ナツノまで......
main14-4,wait,1
main14-4,fgRemove,survivor06,1.0
main14-4,talk,itsuka,......
main14-4,talk,itsuka,どうしよう......
main14-4,talk,itsuka,私......
main14-4,talk,itsuka,どうしたら......
main14-4,talk,itsuka,......
main14-4,wait,2
main14-4,end,questSuccess
-,,,
main14-5,bg,scenario03
main14-5,fgClear
main14-5,hideStatus
main14-5,wait,3
main14-5,talk,akane,......こうならないために
main14-5,talk,akane,誰かが、こんな風になるのを見ないために......
main14-5,talk,akane,アタシは......
main14-5,talk,akane,......
main14-5,playBgm,scenario03
main14-5,talk,akane,......あーあ
main14-5,talk,akane,こんな穏やかな寝顔しちゃって
main14-5,talk,akane,お姫様かよ
main14-5,talk,akane,......ナツノちゃん
main14-5,talk,akane,......
main14-5,talk,akane,......何が起こってるんだろ
main14-5,talk,akane,この世界が、コンピュータの中の仮想世界だったり
main14-5,talk,akane,あなたのおばあさんがつくったものだったり
main14-5,talk,akane,アタシたちが生きてる、この世界と、あなたの世界がこうして繋がってたり......
main14-5,talk,akane,......あなたの話だと
main14-5,talk,akane,仮想世界は、中を覗いたら、崩壊しちゃう......んだったよね
main14-5,talk,akane,じゃあ、この世界はどうして、こうやって壊れずに残ってるんだろう
main14-5,talk,akane,......
main14-5,talk,akane,......アタシたちの方から
main14-5,talk,akane,仮想世界の内側から、外の世界と繋がろうとしたから......かな
main14-5,talk,akane,外から中を覗くことはできないけど、中から外を見上げることはできる......とか
main14-5,talk,akane,『どうして繋がったのか』っていうのは、ただの偶然、かもしれないけど
main14-5,talk,akane,『どうやって繋がったのか』、そういう原理とかプロセスは、あるはず......
main14-5,talk,akane,......
main14-5,talk,akane,......いや
main14-5,talk,akane,それだって、わかるわけないのかもしれない
main14-5,talk,akane,理由も、原理も、アタシたちが勝手に切り分けて考えてるだけなのかも
main14-5,talk,akane,宇宙の成り立ちとか、物理現象の仕組みとか、いろいろ知ってるつもりだけど
main14-5,talk,akane,それだって、観測したことから、アタシたちが想像してるってだけ......
main14-5,talk,akane,......
main14-5,talk,akane,もしかしたら、この世界が壊れなかったのも、ただの『偶然』ってだけかもしれないし
main14-5,talk,akane,偶然......なんだろうなって気もするし
main14-5,talk,akane,アタシたち人間は、どんなものにでも、納得できる理由とか、そういうのを求めちゃうけど
main14-5,talk,akane,本当は、起こったことに納得できる理由があることの方が、少ないんだ
main14-5,talk,akane,......
