id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main12-1,bg,scenario01
main12-1,fgClear
main12-1,wait,3
main12-1,talk,natsuno,──！
main12-1,talk,natsuno,──さん！
main12-1,talk,natsuno,──アカネさん......！
main12-1,wait,1
main12-1,fg,survivor00,right-right,0.5,serious
main12-1,talk,natsuno,ねぇ......！
main12-1,talk,natsuno,......
main12-1,talk,natsuno,どうしたの、いきなり......
main12-1,talk,natsuno,ねぇ......
main12-1,talk,natsuno,大丈夫......？
main12-1,talk,natsuno,......
main12-1,talk,natsuno,............
main12-1,talk,natsuno,......ねぇ
main12-1,talk,natsuno,アカネさん......？
main12-1,talk,natsuno,......それって
main12-1,playBgm,scenario01
main12-1,wait,1
main12-1,fg,survivor03,right-left,0.5,serious
main12-1,wait,1
main12-1,talk,akane,......
main12-1,talk,akane,......あはは
main12-1,talk,akane,......ばれちゃった
main12-1,talk,natsuno,......
main12-1,talk,natsuno,......その、足......
main12-1,talk,akane,......
main12-1,talk,akane,もう......
main12-1,talk,akane,感覚は、ほとんどないんだ
main12-1,talk,akane,じんじんする痛みだけが、あって......
main12-1,talk,akane,ごめん......
main12-1,talk,akane,ちょっと、今は、立てそうにないな......
main12-1,talk,natsuno,......そんな
main12-1,talk,natsuno,ずっと、黙ってたの......？
main12-1,talk,natsuno,そんな......左足から、金属の管が生えてきて......
main12-1,talk,natsuno,それ......
main12-1,talk,natsuno,......
main12-1,talk,natsuno,感染、してるんだよね......
main12-1,talk,akane,......
main12-1,talk,akane,......そう、だろうね
main12-1,talk,akane,......
main12-1,talk,akane,最近、落ち着いてたんだけどな......
main12-1,talk,natsuno,......
main12-1,talk,natsuno,いつから......なの......？
main12-1,talk,akane,......
main12-1,talk,akane,前に、ナツノちゃんとばいばいした頃......かな
main12-1,talk,akane,その頃は、痛みがひどくて......
main12-1,talk,akane,最近、ちょっと平気になってたんだけど
main12-1,talk,akane,......
main12-1,talk,natsuno,それで、アカネさん......
main12-1,talk,natsuno,一人でいなくなったの......？
main12-1,talk,natsuno,なんで、そんなこと......
main12-1,talk,natsuno,どうして言ってくれなかったの......？
main12-1,talk,akane,......
main12-1,talk,akane,だって
main12-1,talk,akane,ナツノちゃん、心配するでしょ？
main12-1,talk,akane,アタシのこと、大好きだからさ
main12-1,talk,natsuno,心配、するけど......
main12-1,talk,natsuno,......
main12-1,talk,akane,......あーあ
main12-1,talk,akane,結局、ばれちゃうし
main12-1,talk,akane,......
main12-1,talk,akane,この前、ナツノちゃんと再会した頃は......
main12-1,talk,akane,まだ、足首までだったんだ
main12-1,talk,akane,それが、最近、すねまで浸食してきて......
main12-1,talk,akane,......
main12-1,talk,akane,たぶん、これからも、どんどん──
main12-1,wait,1
main12-1,fgRemove,survivor03,1.0
main12-1,playSe,down00
main12-1,wait,1
main12-1,talk,natsuno,......！
main12-1,talk,natsuno,アカネさん！
main12-1,talk,natsuno,ちょっと、ねぇ......！
main12-1,talk,natsuno,アカネさん......！
main12-1,talk,natsuno,......
main12-1,talk,natsuno,アカネさん......
main12-1,talk,natsuno,......気、失っちゃったのかな
main12-1,talk,natsuno,ねぇ......
main12-1,talk,natsuno,死んじゃったんじゃない、よね......？
main12-1,talk,natsuno,......ねぇ
main12-1,talk,natsuno,アカネさん......？
main12-1,wait,3
main12-1,end,questSuccess
-,,,
main12-2,bg,scenario33
main12-2,fgClear
main12-2,playBgm,scenario01
main12-2,wait,5
main12-2,talk,natsuno,......
main12-2,talk,natsuno,............
main12-2,fg,survivor00,right-right,0.5,depress
main12-2,talk,natsuno,......どうしよう
main12-2,talk,natsuno,わたし......
main12-2,talk,natsuno,どうしたら......
main12-2,talk,natsuno,......
main12-2,talk,natsuno,アカネさんが、感染してて
main12-2,talk,natsuno,足から、鉄の管が生えてきて......
main12-2,talk,natsuno,倒れちゃって......
main12-2,talk,natsuno,それで......
main12-2,talk,natsuno,ずっと、前からで......
main12-2,talk,natsuno,どんどん、足が金属に変わっちゃってて......
main12-2,talk,natsuno,......
main12-2,talk,natsuno,わたし......
main12-2,talk,natsuno,......
main12-2,talk,natsuno,............
main12-2,wait,1
main12-2,fg,survivor06,right-left,0.5
main12-2,wait,1
main12-2,talk,itsuka,......
main12-2,talk,itsuka,......大丈夫
main12-2,talk,itsuka,寝てるだけだよ
main12-2,talk,itsuka,左足の、まだ侵されてない部分が腫れてて
main12-2,talk,itsuka,ちょっと熱が出てるけど......
main12-2,talk,itsuka,たぶん、今すぐ命に危険はない
main12-2,talk,itsuka,今は、寝てるだけだ......
main12-2,talk,natsuno,......
main12-2,talk,natsuno,......でも
main12-2,talk,natsuno,それって
main12-2,talk,natsuno,今は、大丈夫かもしれないけど
main12-2,talk,natsuno,これから......
main12-2,talk,natsuno,これから、どんどん足が金属になって、
main12-2,talk,natsuno,足だけじゃなくなって......
main12-2,talk,natsuno,そしたら......
main12-2,talk,itsuka,......
main12-2,talk,itsuka,これは、細菌とかウイルスのせいじゃない
main12-2,talk,itsuka,だから、どれくらい意味があるかわからないけど
main12-2,talk,itsuka,......
main12-2,talk,itsuka,......今のうちに
main12-2,talk,itsuka,切り落とした方が、いいかもしれない
main12-2,talk,natsuno,──！
main12-2,talk,itsuka,......
main12-2,talk,itsuka,まともな知識も、医療器具もない
main12-2,talk,itsuka,とても危険だと思う
main12-2,fg,survivor06,right-left,0.5,depress
main12-2,talk,itsuka,でも......
main12-2,talk,itsuka,このまま放置しておくのと
main12-2,talk,itsuka,切断してしまうのと
main12-2,talk,itsuka,どちらかしか、選択肢がない
main12-2,talk,itsuka,このまま放っておけば......
main12-2,talk,itsuka,他の感染者と同じように、意識がなくなってしまうか
main12-2,talk,itsuka,そうじゃなくても
main12-2,talk,itsuka,これが、足を全部飲み込んで、内臓に達したら
main12-2,talk,itsuka,あるいはそれまでに、ショックで......
main12-2,talk,itsuka,......
main12-2,talk,natsuno,......そんな
main12-2,talk,natsuno,そんなこと......
main12-2,talk,natsuno,......
main12-2,talk,natsuno,アカネさん......
main12-2,wait,3
main12-2,end,questSuccess
-,,,
main12-3,bg,computer00
main12-3,playBgm,scenario05
main12-3,wait,5
main12-3,talk,,なんでもなかったはずの足から、
main12-3,talk,,ある日、いきなり、金属が生えてくる。
main12-3,talk,,どうして、どうやって、そんなことが起きるのか、わからない。
main12-3,talk,,でも、その異物は、ゆっくりと足を蝕み、
main12-3,talk,,人の身体を変えていく。
main12-3,talk,,あるいは、人の身体が自分から、変わっていく。
main12-3,talk,,そして、それはやがて──
main12-3,wait,1
main12-3,fadeOutTextLine
main12-3,newPage
main12-3,fadeInTextLine
main12-3,wait,1
main12-3,talk,,普通ではないことが起こっている。
main12-3,talk,,どうしようもない現実が、人々を侵している。
main12-3,talk,,逃げることはできない。
main12-3,talk,,立ち向かう方法だってない。
main12-3,talk,,ずっと前から、今日まで。
main12-3,talk,,たぶん、これからも、ずっと。
main12-3,wait,1
main12-3,fadeOutTextLine
main12-3,newPage
main12-3,fadeInTextLine
main12-3,wait,1
main12-3,talk,,いきなり、突きつけられた思いだった。
main12-3,talk,,ずっと前から知っていたはずだけれど。
main12-3,talk,,今になって、その恐ろしさがやっとわかった。
main12-3,talk,,人の身体が侵されていく。
main12-3,talk,,理由はなく。
main12-3,talk,,どうしようもなく。
main12-3,talk,,わけもわからないまま。
main12-3,wait,1
main12-3,fadeOutTextLine
main12-3,newPage
main12-3,fadeInTextLine
main12-3,wait,1
main12-3,talk,,うなされながら眠るアカネの傍で、
main12-3,talk,,ナツノは途方に暮れていた。
main12-3,talk,,彼女も、きっと、同じ思いなのだとわかる。
main12-3,talk,,パンデミックの起こった世界にいながら、
main12-3,talk,,でも、目の前で、知っている人の身体が侵されていくところを見るのは初めてで。
main12-3,talk,,彼女は、動揺していた。
main12-3,talk,,不安定だった。
main12-3,talk,,なんて声をかけていいか、わからないくらいに。
main12-3,wait,1main12-4
main12-3,fadeOutTextLine
main12-3,newPage
main12-3,fadeInTextLine
main12-3,wait,1
main12-3,talk,,でも、
main12-3,talk,,それでも、
main12-3,talk,,伝えずにはいられなかった。
main12-3,talk,,これを──
main12-3,talk,,知ってしまったことを、黙っていることができなかった。
main12-3,talk,,最初にすべてがわかったとき、
main12-3,talk,,自分は、これを彼女たちに伝えられるだろうか、と思った。
main12-3,talk,,でも、逆だった。
main12-3,talk,,伝えずにはいられなかった。
main12-3,talk,,こんなことに、自分一人だけが気づいていると思うと、どうにかなりそうだった。
main12-3,talk,,少しでも早く、全部、吐き出してしまいたかった。
main12-3,talk,,だから──
main12-3,pauseBgm
main12-3,wait,3
main12-3,end,questSuccess
-,,,
main12-4,bg,scenario19
main12-4,wait,5
main12-4,talk,,──懐かしい。
main12-4,talk,,彼は──祖母の兄は、そう言った。
main12-4,talk,,祖母のコンピュータのこと。
main12-4,talk,,その中で動いている仮想世界のこと。
main12-4,talk,,話の中でそのことに触れて、最初に返ってきたのが、それだった。
main12-4,talk,,懐かしい。
main12-4,talk,,祖母の兄は、知っていた。
main12-4,talk,,祖母がもっていた、このコンピュータのことも。
main12-4,talk,,この中で動いている、仮想世界のことも。
main12-4,wait,1
main12-4,fadeOutTextLine
main12-4,newPage
main12-4,fadeInTextLine
main12-4,playBgm,scenario02
main12-4,wait,1
main12-4,talk,,今ではうまく想像できないけれど、
main12-4,talk,,当時は、仮想世界というのが世の中に広まり始めた頃で、
main12-4,talk,,その目新しさに、いろんな人が自分のコンピュータの中で仮想世界を育んでいたらしい。
main12-4,talk,,仮想世界をつくるための機器は、高校生のバイト代でも買えてしまうくらいのものだった。
main12-4,talk,,多くの若者が、インテリアのテラリウムを眺めるみたいに、コンピュータの中につくり出した宇宙に思いを馳せていた。
main12-4,talk,,中を覗くことができない退屈さに、一時の流行りで終わるけれど、廃れるまでは至るところで宇宙が生まれ、動いていた。
main12-4,wait,1
