id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main8-1,bg,scenario31
main8-1,fgClear
main8-1,playBgm,scenario02
main8-1,wait,3
main8-1,fg,survivor06,right-right,1.0
main8-1,talk,???,この声が聞こえる？
main8-1,talk,???,聞こえるんだよね
main8-1,talk,???,そのスマホを通して、私の声が......
main8-1,talk,???,......
main8-1,talk,???,......一度
main8-1,talk,???,なんでもいいから
main8-1,talk,???,返事を、してほしい
main8-1,talk,???,......
main8-1,waitCall,any,input_any,input_any
main8-1,label,input_any
main8-1,talk,???,......
main8-1,talk,???,......ありがとう
main8-1,talk,???,聞こえるよ
main8-1,talk,???,あなたの声
main8-1,talk,???,......
main8-1,talk,???,......そうか
main8-1,talk,???,あなたは本当に......今、そこにいるんだ
main8-1,talk,???,......
main8-1,wait,1
main8-1,fg,survivor00,right-left,1.0,serious
main8-1,talk,natsuno,......えっと
main8-1,talk,natsuno,......
main8-1,talk,???,......そうだね
main8-1,talk,???,説明、するよ
main8-1,talk,???,私には説明がいらないけど
main8-1,talk,???,きみたちには......説明しないといけない
main8-1,talk,itsuka,私は、イツカ
main8-1,talk,itsuka,説明しないといけないのは......
main8-1,talk,itsuka,そう......
main8-1,pauseBgm
main8-1,talk,itsuka,だから
main8-1,wait,1
main8-1,talk,itsuka,どうして、私には説明がいらないのか、ってこと
main8-1,wait,2
main8-1,fadeOut,1
main8-1,wait,2
main8-1,newPage
main8-1,fgClear
main8-1,hideStatus
main8-1,playBgm,character06
main8-1,fadeIn,1
main8-1,wait,3
main8-1,talk,itsuka,最初に声を聞いたのは......半年と、ちょっと前
main8-1,talk,itsuka,朝目が覚めたら、声が聞こえた
main8-1,talk,itsuka,一人暮らしの、小さな部屋なのに
main8-1,talk,itsuka,すぐそばで誰かが話してるみたいに、声が聞こえたんだ
main8-1,talk,itsuka,二度寝して目を覚ましても、外に出ても、声は止まなかった
main8-1,talk,itsuka,誰もいないのに、声だけが、聞こえる
main8-1,talk,itsuka,その日から......
main8-1,talk,itsuka,ずっと誰かの声が聞こえてた
main8-1,talk,itsuka,起きてる間は、ずっと
main8-1,talk,itsuka,声は、私に話しかけてるんじゃなくて
main8-1,talk,itsuka,独り言とか、別の誰かと話してる声とか、電話してるみたいな声とか......
main8-1,talk,itsuka,壁の薄いアパートで、隣の人の声が聞こえてるみたいな......そんな感じ
main8-1,talk,itsuka,いつも同じ人の声だった
main8-1,talk,itsuka,女の人の声
main8-1,talk,itsuka,向こうの声は私に聞こえるけど、
main8-1,talk,itsuka,私の声が、向こうに届いてるわけじゃなかった
main8-1,talk,itsuka,この声は届けられない
main8-1,talk,itsuka,私は一方的に聞いてるだけ
main8-1,talk,itsuka,その人だって、私に話しかけてるわけじゃない
main8-1,talk,itsuka,聞かれてるなんて思ってもない
main8-1,talk,itsuka,だから......会話はしてない
main8-1,talk,itsuka,でも、何日も聞いてると、なんとなく、いろいろわかってくる
main8-1,talk,itsuka,その人の暮らしとか、住んでるところのこととか
main8-1,talk,itsuka,どんな部屋にいて、どんな家族がいるのか、とか
main8-1,talk,itsuka,どんな世界に生きてるのか、とか......
main8-1,talk,itsuka,......
main8-1,talk,itsuka,ずっと遠いところにいるんだと思った
main8-1,talk,itsuka,その人は、ずっと遠くの......この世界じゃない、どこかにいるんだって
main8-1,talk,itsuka,......
main8-1,talk,itsuka,......そう
main8-1,talk,itsuka,私には、一方的に、声だけが聞こえてたんだ
main8-1,talk,itsuka,きみが──
main8-1,wait,1
main8-1,talk,itsuka,ナツノが、そのスマホで──あなたの声を聞いてるみたいに
main8-1,wait,2
main8-1,fadeOut,1
main8-1,wait,3
main8-1,newPage
main8-1,fgClear
main8-1,showStatus
main8-1,fadeIn,1
main8-1,wait,2
main8-1,fg,survivor06,right-right,1.0
main8-1,talk,itsuka,けど、しばらくして、声はいきなり聞こえなくなった
main8-1,talk,itsuka,何か月も、ずっと聞こえてた声が急に止んだ
main8-1,talk,itsuka,それが......ちょうど、一か月前
main8-1,talk,itsuka,少しの間、何も聞こえなかった
main8-1,talk,itsuka,世の中は慌ただしかったけど、私にとっては、静かな毎日だった
