id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main10-1,bg,scenario23
main10-1,fgClear
main10-1,playBgm,scenario06
main10-1,wait,5
main10-1,talk,natsuno,わたしたちが感じてる、この『寂しさ』の方が変なんだって
main10-1,talk,natsuno,......イツカ、言ってたよね
main10-1,wait,1
main10-1,fg,survivor00,right-right,0.5,serious
main10-1,wait,1
main10-1,talk,natsuno,変っていうのは
main10-1,talk,natsuno,たぶん、あなたたちの世界が本当の世界で
main10-1,talk,natsuno,わたしたちの、この世界は偽物だから
main10-1,talk,natsuno,本当の世界と比べて、変、みたいな意味だと思うけど......
main10-1,talk,natsuno,......
main10-1,talk,natsuno,あなたの世界の人たちと比べたら
main10-1,talk,natsuno,わたしたちは、変って思えるくらい、寂しいって感じてて
main10-1,talk,natsuno,普通じゃなくて......
main10-1,talk,natsuno,......
main10-1,talk,natsuno,わたしたちにとっては、これが普通なんだけど
main10-1,talk,natsuno,なんだけど......
main10-1,talk,natsuno,......
main10-1,talk,natsuno,......でも
main10-1,talk,natsuno,ちょっと、わかる
main10-1,talk,natsuno,変、だよね
main10-1,talk,natsuno,わたしも、ときどき、思うんだ
main10-1,talk,natsuno,どうして、こんなに寂しいんだろうって
main10-1,talk,natsuno,誰かに会いたいって思ったり
main10-1,talk,natsuno,誰かと話したいって思ったり......
main10-1,talk,natsuno,......
main10-1,talk,natsuno,わたし、転校が多かったし
main10-1,talk,natsuno,付き合いが長い友達とか、幼馴染みの人とか
main10-1,talk,natsuno,親友、なんて言える友達って、いないんだけど
main10-1,talk,natsuno,でも......
main10-1,talk,natsuno,そんななのに、それでも、会いたいって思うんだ
main10-1,talk,natsuno,誰でもいい......っていうのとは、違うかもだけど
main10-1,talk,natsuno,でも、あの人に会いたい、じゃなくて
main10-1,talk,natsuno,誰かに会いたいって、思う
main10-1,talk,natsuno,......
main10-1,talk,natsuno,前は......
main10-1,talk,natsuno,こんなことになる前は
main10-1,talk,natsuno,毎日、誰かとお喋りしてて
main10-1,talk,natsuno,家に帰っても、ずっとスマホでメッセ送ったり
main10-1,talk,natsuno,用事もないのに通話したり
main10-1,talk,natsuno,友達の写真にいいね押したり
main10-1,talk,natsuno,ほんとに、ずっと......
main10-1,talk,natsuno,誰かと、一緒だった
main10-1,talk,natsuno,......
main10-1,talk,natsuno,それが、でも、こんなことになって
main10-1,talk,natsuno,誰もいなくて、ネットも繋がんなくて
main10-1,talk,natsuno,誰かに会いたいって......思うけど
main10-1,talk,natsuno,でも......
main10-1,talk,natsuno,どうして会いたいんだろう、って......思う
main10-1,talk,natsuno,助けてほしいって思うんじゃないの
main10-1,talk,natsuno,疲れてたり、お腹が空いてるときは、疲れたな、とか、お腹空いたな、って思うだけなのに
main10-1,talk,natsuno,なんでもないときに......誰かに会いたいって、思う
main10-1,talk,natsuno,食べ物を分けてもらうためとか
main10-1,talk,natsuno,安全な場所を教えてほしいとか
main10-1,talk,natsuno,そういうことじゃなくて......
main10-1,talk,natsuno,ただ、お喋りしたり
main10-1,talk,natsuno,一緒にいるために
main10-1,talk,natsuno,誰かに会いたいって......思う
main10-1,talk,natsuno,......
main10-1,fg,survivor00,right-right,0.5,depress
main10-1,talk,natsuno,......変、だよね
main10-1,talk,natsuno,......
main10-1,talk,natsuno,......あなただって
main10-1,talk,natsuno,あなたが、食べ物をくれたり
main10-1,talk,natsuno,何かしてくれたり
main10-1,talk,natsuno,助けてくれるわけじゃない......けど
main10-1,talk,natsuno,それでも......
main10-1,talk,natsuno,あなたと話してたいって......思うんだ
main10-1,talk,natsuno,......
main10-1,wait,1
main10-1,fgRemove,survivor00,2.0
main10-1,wait,1
main10-1,talk,natsuno,......でも
