id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main1-1,bg,location00
main1-1,playBgm,environment00
main1-1,talk,natsuno,......あ！
main1-1,talk,natsuno,......ねぇ、生きてる人がいる
main1-1,talk,natsuno,声かけてみていい？
main1-1,talk,natsuno,ねぇ......。大丈夫？
main1-1,talk,男の声,うう......
main1-1,talk,男の声,ち......
main1-1,playBgm,scenario01,
main1-1,talk,男の声,近寄るな......俺は感染している.......
main1-1,talk,natsuno,......！
main1-1,fg,survivor00,right-right,0.5,serious
main1-1,talk,natsuno,そうなの......？
main1-1,talk,natsuno,でも、話せてるし......
main1-1,talk,natsuno,ちゃんと意識があるんじゃないの......？
main1-1,talk,男の声,......
main1-1,talk,男の声,知らねぇのか......
main1-1,talk,男の声,感染したやつが、どいつもこいつもあんな人食いの化け物になるわけじゃあねぇんだ......
main1-1,talk,natsuno,どういうこと......？
main1-1,talk,男の声,いいか......こいつはウイルスのパンデミックなんかじゃねぇ......
main1-1,talk,男の声,ただのウイルスなら、こんなことが起きるかよ......
main1-1,talk,natsuno,......！
main1-1,talk,natsuno,そのお腹......！
main1-1,talk,natsuno,どういうこと......？
main1-1,talk,男の声,うう......
main1-1,talk,男の声,ううぁ......
main1-1,talk,男の声,うああああああああああああああああああああああああああああああ！！
main1-1,talk,natsuno,......！
main1-1,talk,natsuno,なに、これ......
main1-1,talk,natsuno,男の人のお腹から......携帯端末が皮膚を突き破って出てきた......
main1-1,talk,natsuno,なにこれ......どうなってるの......？
main1-1,talk,natsuno,......
main1-1,talk,natsuno,この人......もう死んでる......
main1-1,talk,natsuno,どうしてお腹の中から端末が......？
main1-1,talk,natsuno,これ......
main1-1,talk,natsuno,......！
main1-1,fg,survivor00,right-right,0.5,depress
main1-1,talk,natsuno,勝手に画面に文字が......
main1-1,talk,natsuno,<red>タスケテタスケテタスケテタスケテタスケテタスケテタスケテタスケテタスケテタスケテ......</red>って.......
main1-1,talk,natsuno,どうなってるの......
main1-1,talk,natsuno,わけわかんない......
main1-1,talk,natsuno,............
main1-1,end,questSuccess,
-,,,
main1-2,bg,location01
main1-2,fg,survivor00,right-right,0,serious
main1-2,pauseBgm,
main1-2,playBgm,scenario01,
main1-2,talk,natsuno,......
main1-2,talk,natsuno,............
main1-2,talk,natsuno,..................
main1-2,talk,natsuno,......ねぇ
main1-2,talk,natsuno,......この向こうに誰かいる
