id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main13-1,bg,scenario33
main13-1,fgClear
main13-1,wait,3
main13-1,fg,survivor00,right-right,0.5,serious
main13-1,wait,1
main13-1,talk,natsuno,ねぇ......
main13-1,talk,natsuno,ほんとに、大丈夫なの......？
main13-1,wait,1
main13-1,playBgm,character03
main13-1,fg,survivor03,right-left,0.5,smile
main13-1,wait,1
main13-1,talk,akane,だいじょーぶだって
main13-1,talk,akane,へーきへーき
main13-1,fg,survivor03,right-left,0.5,default
main13-1,talk,akane,......とは、いかないけど
main13-1,talk,akane,ま、大丈夫だよ
main13-1,talk,akane,立って歩くくらいなら──
main13-1,talk,akane,おっと......
main13-1,talk,natsuno,ちょっと......！
main13-1,fg,survivor00,right-right,0.5,depress
main13-1,talk,natsuno,全然、大丈夫じゃないじゃん......
main13-1,talk,akane,まーまー
main13-1,talk,akane,大丈夫だよ
main13-1,talk,akane,死にはしないって
main13-1,talk,akane,今すぐにはね
main13-1,talk,natsuno,......
main13-1,wait,1
main13-1,fgRemove,survivor00,0.5
main13-1,fg,survivor06,right-right,0.5
main13-1,wait,1
main13-1,talk,itsuka,......まぁ
main13-1,talk,itsuka,意識が戻ってよかった
main13-1,talk,itsuka,私より、アカネの方が医療については詳しいだろうし
main13-1,talk,itsuka,本人の意志も、ちゃんと確認しておきたかった
main13-1,pauseBgm
main13-1,wait,1
main13-1,fgRemove,survivor03,0.5
main13-1,fg,survivor00,right-left,0.5,depress
main13-1,wait,1
main13-1,talk,natsuno,......
main13-1,talk,natsuno,......イツカ、それって
main13-1,talk,itsuka,......
main13-1,playBgm,scenario01
main13-1,talk,itsuka,その足は、切り落とした方がいい
main13-1,talk,natsuno,......
main13-1,fgRemove,survivor06,0.5
main13-1,fg,survivor03,right-right,0.5
main13-1,talk,akane,......
main13-1,talk,akane,あー
main13-1,talk,akane,その話、なんだけど
main13-1,talk,natsuno,......？
main13-1,talk,akane,あー......
main13-1,talk,akane,なんていうか......
main13-1,talk,akane,えー......
main13-1,talk,akane,切り落とさない、方向で......
main13-1,talk,akane,いきたいんだけど
main13-1,talk,natsuno,え......
main13-1,talk,natsuno,でも......アカネさん、そのままじゃ......
main13-1,talk,akane,うん
main13-1,talk,akane,わかってるよ
main13-1,talk,akane,このままじゃ......たぶん、いつか死んじゃうよね
main13-1,talk,akane,......
main13-1,talk,akane,正直、めっちゃ痛いし
main13-1,talk,akane,ときどき、気失っちゃいそうになるくらい、きつい
main13-1,talk,akane,一か八かでも、切り落とした方が......
main13-1,talk,akane,本当はいいんだと思う
main13-1,talk,natsuno,だったら......
main13-1,talk,akane,......
main13-1,talk,akane,......けど
main13-1,talk,akane,もう、どうしようもない、性分っていうか
main13-1,talk,akane,使命感......みたいなものでさ
main13-1,wait,1
main13-1,talk,akane,アタシは......
main13-1,talk,akane,もう少し、この左足と付き合ってみたい
main13-1,wait,1
main13-1,talk,natsuno,......
main13-1,talk,natsuno,どういうこと......？
main13-1,talk,akane,アタシ自身が、感染者と同じ身体になったんだよ
main13-1,talk,akane,だったら
main13-1,talk,akane,感染者の身体で何が起きてるのか、調べるのに
main13-1,talk,akane,これ以上の環境って、ないと思わない......？
main13-1,talk,natsuno,......！
main13-1,talk,natsuno,アカネさん......！
main13-1,talk,natsuno,そんなこと、言ってる場合じゃ──！
main13-1,talk,natsuno,......
main13-1,talk,akane,......ごめんね
main13-1,talk,akane,ナツノちゃん
main13-1,talk,akane,ナツノちゃんは、アタシのこと大好きだから
main13-1,talk,akane,怒ってくれるだろうけど
main13-1,talk,akane,でも......
main13-1,talk,akane,切り落とす前に、調べられることは、調べておきたい
main13-1,talk,akane,切り落とすのは、そのあとで──
main13-1,wait,1
main13-1,fgRemove,survivor03,0.5
main13-1,playSe,down00
main13-1,wait,1
main13-1,talk,natsuno,あ、ちょっと......
main13-1,talk,natsuno,アカネさん、大丈夫......？
main13-1,wait,1
main13-1,fg,survivor03,right-right,0.5,serious
main13-1,wait,1
main13-1,talk,akane,ごめん......
main13-1,talk,akane,やっぱ、ちょっと、無理しすぎたみたい......
main13-1,talk,akane,向こうで休むね......
main13-1,talk,akane,......
main13-1,wait,1
main13-1,fgRemove,survivor03,0.5
main13-1,wait,1
main13-1,talk,natsuno,アカネさん......
main13-1,talk,natsuno,......
main13-1,wait,1
main13-1,fg,survivor06,right-right,0.5
main13-1,wait,1
main13-1,talk,itsuka,......
main13-1,talk,itsuka,......まぁ
main13-1,talk,itsuka,アカネのことは、少しそっとしておいてもいいかもしれない
main13-1,talk,itsuka,言ってたとおり、すぐに命に危険があるわけじゃないし
main13-1,talk,itsuka,さすがに、本人がそうしたくないって言ってるのに、私たちだけでどうこうすることもできない
main13-1,talk,itsuka,説得するにしても、少し時間をかけよう
main13-1,talk,natsuno,......
main13-1,talk,natsuno,......うん
main13-1,pauseBgm
main13-1,talk,itsuka,......
main13-1,talk,itsuka,......それに
main13-1,talk,itsuka,私には──
main13-1,talk,itsuka,スマホの向こうのあなたから、聞かなきゃならないことがある
main13-1,wait,3
main13-1,end,questSuccess
-,,,
main13-2,bg,scenario19
main13-2,playBgm,scenario06
main13-2,wait,5
main13-2,talk,,六十年前の祖母は、このコンピュータを買って、仮想世界を生み出した。
main13-2,talk,,おもしろ味に欠けたのか、飽きてしまったのか、
main13-2,talk,,そのあと、物置の中にずっと放置されていて
main13-2,talk,,それが今も、ここで動いている。
main13-2,wait,1
main13-2,talk,,ただの興味で。
main13-2,talk,,流行っていたからで。
main13-2,talk,,それ以上の理由なんかなくて──。
main13-2,talk,,祖母が、この仮想世界の中に誰かを探していた、というのも、
main13-2,talk,,その人を祖母と会わせるために、この世界で『寂しさ』が生まれ、パンデミックが起こったというのも、
main13-2,talk,,全部──勝手な、想像。
main13-2,wait,1
main13-2,fadeOutTextLine
main13-2,newPage
main13-2,fadeInTextLine
main13-2,wait,1
main13-2,talk,,人は想像をする。
main13-2,talk,,空に浮かぶ雲が羊の姿に見えるように。
main13-2,talk,,夜風に揺れる柳が、幽霊に見えるように。
main13-2,talk,,月の模様が、餅をつく兎に見えるように。
main13-2,talk,,人は、本当は関係のない、別々のものを繋ぎ合わせて、勝手な想像をする。
main13-2,talk,,勘違いをする。
main13-2,talk,,きっとそれは、人に多くの恩恵を与えただろう。
main13-2,talk,,想像のちからで、人は多くの発見をしてきた。
main13-2,talk,,でも──
main13-2,talk,,その想像が、勝手な幻を見せることだってある。
main13-2,wait,1
main13-2,fadeOutTextLine
main13-2,newPage
main13-2,fadeInTextLine
main13-2,wait,1
main13-2,talk,,祖母は誰かに会いたがっていて、そのために仮想世界をつくって、だから二つの世界が繋がって──
main13-2,talk,,そんな「物語」を、勝手に想像していた。
main13-2,talk,,でも本当は、「物語」なんかない。
main13-2,talk,,起こったことに、意味なんかない。
main13-2,talk,,この世界は、ただの興味で、一人の女性の気まぐれでつくられていて。
main13-2,talk,,そこには──そこで彼女たちが生きていることには、
main13-2,wait,1
main13-2,talk,,どんな理由も、ない。
main13-2,wait,3
main13-2,end,questSuccess
-,,,
main13-3,bg,scenario23
main13-3,fgClear
main13-3,playBgm,scenario02
main13-3,wait,5
main13-3,fg,survivor06,right-left,1.0,depress
main13-3,talk,itsuka,......
main13-3,talk,itsuka,......そんな
main13-3,talk,itsuka,そんなのは......おかしい
main13-3,talk,itsuka,おかしいよ......
main13-3,talk,itsuka,だって、もしそうなら
main13-3,fg,survivor06,right-left,0.5,default
main13-3,talk,itsuka,この世界は......
main13-3,talk,itsuka,私たちは、どうして『寂しさ』なんかもってるんだ......？
main13-3,talk,itsuka,どうしてこの世界でパンデミックが起きて、
main13-3,talk,itsuka,私やナツノが、外の世界と繋がったんだ......？
main13-3,talk,itsuka,......
main13-3,wait,1
main13-3,fg,survivor00,right-right,0.5,depress
main13-3,talk,natsuno,......
main13-3,talk,natsuno,............
main13-3,talk,natsuno,......たぶん
main13-3,talk,natsuno,たぶん、だけど......
main13-3,talk,natsuno,それも、偶然なんだと思う
main13-3,fg,survivor06,right-left,0.5,depress
main13-3,talk,itsuka,......
main13-3,talk,itsuka,そんな偶然......
main13-3,talk,itsuka,これが偶然だって方が......よほど出来過ぎてる
main13-3,talk,itsuka,ただの偶然で、こんなことが......
main13-3,talk,natsuno,......
main13-3,talk,natsuno,......そうでもない、と思う
main13-3,talk,natsuno,だって
main13-3,talk,natsuno,この偶然がなかったら......
main13-3,talk,natsuno,何も起こらなかったもん
main13-3,talk,natsuno,......
main13-3,fg,survivor00,right-right,0.5,serious
main13-3,talk,natsuno,あのとき......
main13-3,talk,natsuno,あなたがそのコンピュータを見つけた、あのとき
main13-3,talk,natsuno,わたしと通話が繋がらなかったら......
main13-3,talk,natsuno,あなたは、コンピュータなんて、捨てちゃってたでしょ？
main13-3,talk,natsuno,あのとき......繋がったから......
main13-3,talk,natsuno,この世界が、偶然、外の世界と繋がったから......
main13-3,talk,natsuno,わたしたちは、出会って
main13-3,talk,natsuno,いろいろ勘違いしちゃったんだと思う
main13-3,talk,natsuno,......
main13-3,talk,natsuno,その、最初の偶然が、全部のきっかけ......
main13-3,talk,natsuno,それがなかったら......
main13-3,talk,natsuno,この世界が、外の世界と繋がらなかったら......
main13-3,talk,natsuno,わたしたちは出会わなくて
main13-3,talk,natsuno,何も起きずに、何も始まらずに、終わってたよ
main13-3,talk,natsuno,......
main13-3,fg,survivor00,right-right,0.5,depress
main13-3,talk,natsuno,......その、たった一つの偶然で
main13-3,talk,natsuno,わたしたちは......
main13-3,talk,natsuno,この世界がつくられたことには何か理由があるとか、そういう勝手な『物語』を想像して──
main13-3,talk,itsuka,......
main13-3,talk,natsuno,......
main13-3,talk,itsuka,......
main13-3,wait,1
main13-3,fgRemove,survivor06,1.0
main13-3,wait,1
main13-3,talk,itsuka,......ごめん
main13-3,talk,itsuka,少し......一人に、してほしい
main13-3,talk,itsuka,......
main13-3,talk,natsuno,......
main13-3,wait,3
main13-3,end,questSuccess
-,,,
main13-4,bg,scenario23
main13-4,fgClear
main13-4,playBgm,environment06
main13-4,wait,5
main13-4,fg,survivor00,right-right,0.5,serious
main13-4,wait,1
main13-4,talk,natsuno,......
main13-4,talk,natsuno,アカネさん、ちょっと元気そうになったよ
main13-4,talk,natsuno,鎮痛剤が効いたんだと思う
main13-4,talk,natsuno,......よかった
main13-4,talk,natsuno,......
main13-4,fg,survivor00,right-right,0.5,depress
main13-4,talk,natsuno,薬が、たくさんいるね
main13-4,talk,natsuno,病院とか、そういうところを回って、たくさん集めないと......
main13-4,talk,natsuno,アカネさんが、そういうのに詳しい人でよかった
main13-4,talk,natsuno,わたしとイツカだけじゃ、どういうのを使ったらいいのかわかんなくて
main13-4,talk,natsuno,アカネさんが、教えてくれるんだ
main13-4,talk,natsuno,薬の種類とか、効き方とか......
main13-4,talk,natsuno,......
main13-4,talk,natsuno,アカネさん、今は、ゆっくり寝てる
main13-4,talk,natsuno,薬が効いて、安心しちゃったみたい
main13-4,talk,natsuno,......
main13-4,talk,natsuno,......今はまだ、そういう話ができてないけど
main13-4,talk,natsuno,あの足をそのままにしてたら、いつか......
main13-4,talk,natsuno,だから......早く、アカネさんを説得して......
main13-4,talk,natsuno,それで......
main13-4,talk,natsuno,......
main13-4,talk,natsuno,............
main13-4,talk,natsuno,......それで
main13-4,talk,natsuno,わたしは......
main13-4,talk,natsuno,それから、どう、するんだろう......
main13-4,talk,natsuno,......
main13-4,wait,1
main13-4,fgRemove,survivor00,1.0
main13-4,wait,2
main13-4,playBgm,scenario06
main13-4,wait,2
main13-4,talk,natsuno,あなたにね
main13-4,talk,natsuno,全部......全部、偶然なんだって言われたとき
main13-4,talk,natsuno,びっくりしたけど
main13-4,talk,natsuno,でも......なんか、しっくりきたんだ
main13-4,talk,natsuno,あなたのおばあさんが、誰かを探してたとか
main13-4,talk,natsuno,そのせいで、わたしたちが寂しさを感じてるとか
main13-4,talk,natsuno,だからパンデミックが起きて......あなたの世界と繋がった、とか
main13-4,talk,natsuno,そういうのより......
main13-4,talk,natsuno,ずっと、納得できた
main13-4,talk,natsuno,......変、かもしれないけど
main13-4,talk,natsuno,なんの理由もないって......全部偶然だって
main13-4,talk,natsuno,そう言われた方が......納得できる気がする
main13-4,talk,natsuno,......
main13-4,talk,natsuno,......そりゃ、そうだよね
main13-4,talk,natsuno,なんの意味もないよ
main13-4,talk,natsuno,この世界があることにも
main13-4,talk,natsuno,わたしが生きてることにも
main13-4,talk,natsuno,こうやって、話してることにも......
main13-4,talk,natsuno,......
main13-4,talk,natsuno,小さい頃さ
main13-4,talk,natsuno,あったでしょ？
main13-4,talk,natsuno,そういうこと......生きてる意味とか
main13-4,talk,natsuno,死んだあと、この意識はどうなるんだろう、とか
main13-4,talk,natsuno,そういうの考えて、眠れなくなったこと
main13-4,talk,natsuno,それと同じで......
main13-4,talk,natsuno,そんなの、普通だよ
main13-4,talk,natsuno,誰だって、当たり前に感じてることで
main13-4,talk,natsuno,世界がつくられたことに、意味がないとか......
main13-4,talk,natsuno,......そんなの、今さらじゃん
main13-4,wait,3
main13-4,end,questSuccess
-,,,
main13-5,bg,scenario03
main13-5,fgClear
main13-5,playBgm,scenario02
main13-5,wait,5
main13-5,talk,natsuno,ここは、コンピュータの中の世界で
main13-5,talk,natsuno,わたしたちは、コンピュータの中の宇宙で暮らしてて
main13-5,talk,natsuno,あなたがコンピュータを壊しちゃったら......
main13-5,talk,natsuno,わたしたちは、消えてなくなる......んだよね
main13-5,talk,natsuno,......
main13-5,talk,natsuno,......それは、ちょっと、怖いなって思う
main13-5,talk,natsuno,......
main13-5,talk,natsuno,......でも
main13-5,talk,natsuno,それなら、それでいいかもって気もする
main13-5,talk,natsuno,だって、たぶん、わたしたちは一瞬で、何もわからずに消えるだけだよね
main13-5,talk,natsuno,消えちゃうってことにも気づかずに、なくなっちゃうんだと思う
main13-5,talk,natsuno,それなら......それでいいかもって思う
main13-5,talk,natsuno,......
main13-5,talk,natsuno,......それでもいいかも、っていうか
main13-5,talk,natsuno,......
main13-5,talk,natsuno,むしろ、
main13-5,wait,1
main13-5,talk,natsuno,──消えたいって、思う
main13-5,wait,1
main13-5,talk,natsuno,一瞬で、消えてなくなってしまえるなら
main13-5,talk,natsuno,その方が、いい
main13-5,talk,natsuno,生きてることに、意味なんかないよ
main13-5,talk,natsuno,わたしが生まれてきたことに、理由なんかない
main13-5,talk,natsuno,わたしだけじゃなくて
main13-5,talk,natsuno,この世界は、あなたのおばあさんが、気まぐれでつくったもので
main13-5,talk,natsuno,何もかも、全部が偶然で
main13-5,talk,natsuno,目的も、理由もなくて
main13-5,talk,natsuno,そんな世界に......みんな、生きてる
main13-5,talk,natsuno,......
main13-5,talk,natsuno,しかも、パンデミックが起きて
main13-5,talk,natsuno,今日生きていくのもやっとで
main13-5,talk,natsuno,アカネさんみたいに苦しんでる人も、たくさんいて
main13-5,talk,natsuno,それなのに......意味なんか、ないんだ
main13-5,talk,natsuno,......
main13-5,talk,natsuno,そんな、世界なら
main13-5,talk,natsuno,全部、消えてなくなってもいい
main13-5,talk,natsuno,消えちゃったらいい
main13-5,talk,natsuno,......
main13-5,talk,natsuno,......そう思うのって
main13-5,talk,natsuno,おかしい、かな
main13-5,talk,natsuno,......
main13-5,talk,natsuno,............
main13-5,talk,natsuno,......ねぇ
main13-5,talk,natsuno,あなたは──
main13-5,wait,1
main13-5,talk,natsuno,生きてて、そんな風に思ったこと......ない？
main13-5,wait,3
main13-5,end,questSuccess
-,,,
main13-6,bg,computer00
main13-6,wait,5
main13-6,talk,,誰だって。
main13-6,talk,,きっと、どんな人だって。
main13-6,talk,,ちょっとした苦しさの中で、
main13-6,talk,,どうしようもない、深い絶望の中で、
main13-6,talk,,一度くらい、思ったことが、あったりしないだろうか。
main13-6,talk,,消えてなくなりたい。
main13-6,talk,,──いや。
main13-6,wait,1
main13-6,talk,,世界の方が──消えて、なくなったらいいのに。
main13-6,wait,3
main13-6,fadeOutTextLine
main13-6,newPage
main13-6,fadeInTextLine
main13-6,wait,1
main13-6,playBgm,scenario06
main13-6,talk,,ナツノは潤んだ瞳で、夜の暗がりを見ていた。
main13-6,talk,,そこには、アカネが集めてきたいろいろな品がある。
main13-6,talk,,感染者から出てきたという、様々な品。
main13-6,talk,,その中に、
main13-6,talk,,一台の、コンピュータがある。
main13-6,talk,,この世界と──外の世界と繋がった、コンピュータ。
main13-6,talk,,仮想世界を動かしているこのコンピュータを、操作できる。
main13-6,talk,,彼女たち自身の手で、どんなことだってできる。
main13-6,wait,1
main13-6,fadeOutTextLine
main13-6,newPage
main13-6,fadeInTextLine
main13-6,wait,1
