id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main7-1,bg,scenario01
main7-1,fgClear
main7-1,playBgm,environment00
main7-1,wait,5
main7-1,fg,survivor00,right-right,1.0,depress
main7-1,wait,2
main7-1,talk,natsuno,だから......
main7-1,talk,natsuno,行くとこもないし
main7-1,talk,natsuno,あてもない
main7-1,talk,natsuno,昨日の夜寝た場所も、もうわかんない
main7-1,talk,natsuno,......
main7-1,fg,survivor00,right-right,0.5,serious
main7-1,talk,natsuno,............
main7-1,talk,natsuno,......うん
main7-1,talk,natsuno,あなたと話しながら旅してた頃と一緒
main7-1,talk,natsuno,誰もいない家とか、キャンプの跡とか見つけて
main7-1,talk,natsuno,使えそうなものもらって
main7-1,talk,natsuno,ときどき、亡くなった人とか、まだ動いてる感染者とかとばったり出くわして
main7-1,talk,natsuno,あてもなく......
main7-1,talk,natsuno,なんとなく、北に向かってる......
main7-1,talk,natsuno,......それだけ
main7-1,talk,natsuno,......
main7-1,talk,natsuno,......アカネさんも、一人でどっか行っちゃうし
main7-1,talk,natsuno,一人きりで......
main7-1,talk,natsuno,......
main7-1,fg,survivor00,right-right,0.5,depress
main7-1,pauseBgm
main7-1,talk,natsuno,......スマホも置いてきたのに
main7-1,talk,natsuno,もう......二度と、こうやって話すことなんか
main7-1,talk,natsuno,ないって、思ってたのに
main7-1,talk,natsuno,......
main7-1,wait,1
main7-1,talk,natsuno,......ねぇ
main7-1,talk,natsuno,どうして──
main7-1,wait,3
main7-1,end,questSuccess
-,,,
main7-2,bg,computer00
main7-2,pauseBgm
main7-2,wait,2
main7-2,talk,,どうして。
main7-2,talk,,彼女はそう問うた。
main7-2,talk,,でも、それに正しく答えることはできなかった。
main7-2,talk,,コンピュータの電源を入れたのは──彼女ともう一度話したのは、考えがあったから。
main7-2,talk,,自分も彼女も、勘違いをしているのではないか、という考え。
main7-2,talk,,でも、いざ言葉にしようとすると、
main7-2,talk,,その考えは、とても考えなんて呼べないくらいに曖昧で。
main7-2,talk,,彼女に聞かせることはできなかった。
main7-2,wait,1
main7-2,fadeOutTextLine
main7-2,newPage
main7-2,fadeInTextLine
main7-2,wait,1
main7-2,talk,,それに──
main7-2,talk,,もしこれが真実だったなら、
main7-2,talk,,彼女たちにとって、あまりにも、酷なことだと思う。
main7-2,wait,3
main7-2,end,questSuccess
-,,,
main7-3,bg,scenario01
main7-3,fg,survivor00,right-right,0,serious
main7-3,playBgm,scenario05
main7-3,wait,3
main7-3,talk,natsuno,......
main7-3,talk,natsuno,......わかったよ
main7-3,talk,natsuno,あなたがそう言うなら
main7-3,talk,natsuno,今は、聞かない
main7-3,talk,natsuno,......
main7-3,fg,survivor00,right-right,0.5,depress
main7-3,talk,natsuno,......わたしだって
main7-3,talk,natsuno,あなたにさよならを言うとき
main7-3,talk,natsuno,ずっと、黙ってたし
main7-3,talk,natsuno,だから、聞かないでおいて、あげる
main7-3,fg,survivor00,right-right,0.5,serious
main7-3,talk,natsuno,......でも
main7-3,talk,natsuno,何かわかったら
main7-3,talk,natsuno,絶対、教えてね
