id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
main6-1,bg,scenario30
main6-1,fgClear
main6-1,hideStatus
main6-1,playBgm,environment00
main6-1,wait,3
main6-1,talk,minamo,......
main6-1,talk,minamo,............
main6-1,fg,survivor05,right-right,0.5
main6-1,talk,minamo,......だから
main6-1,talk,minamo,さっき、そこの木陰に落ちてるのを拾っただけで......
main6-1,talk,minamo,そう、このスマホは、拾っただけ......
main6-1,talk,minamo,......
main6-1,talk,minamo,......うん
main6-1,talk,minamo,誰も、おらんよ
main6-1,talk,minamo,スマホだけ落ちとって
main6-1,talk,minamo,落ちとってっていうか......落としたにしては、不自然なくらい
main6-1,talk,minamo,丁寧に置いてあって
main6-1,talk,minamo,変なのって、思ってたら
main6-1,talk,minamo,きみの声が聞こえたって......感じ？
main6-1,talk,minamo,......
main6-1,talk,minamo,......どう、なんかな
main6-1,talk,minamo,捨てたのか、置いてただけなのか......
main6-1,talk,minamo,そんなの、うちにはわからんよ
main6-1,talk,minamo,だって拾っただけだし
main6-1,talk,minamo,......けど
main6-1,talk,minamo,この辺には、今は誰もおらんと思う
main6-1,talk,minamo,うち、一人だけ
main6-1,talk,minamo,......
main6-1,talk,minamo,......うち？
main6-1,talk,minamo,うちは......なんでここにおるのかって言われても
main6-1,talk,minamo,おるから......としか言えん......かな
main6-1,talk,minamo,ここ通りかかったんは、たまたまだし
main6-1,talk,minamo,どっかに行こうとしてたわけでもないし
main6-1,talk,minamo,ひまで、ひまを持て余して
main6-1,talk,minamo,ふらふらと......ね？
main6-1,talk,minamo,......
main6-1,talk,minamo,......きみは？
main6-1,talk,minamo,こんなとこで、何してたん？
main6-1,talk,minamo,......や
main6-1,talk,minamo,そうよね
main6-1,talk,minamo,スマホに何してたって訊いても、しょうがないか
main6-1,talk,minamo,......
main6-1,talk,minamo,......え
main6-1,talk,minamo,うん
main6-1,talk,minamo,きみのこと、スマホの妖精か、幽霊かだと思っとるけど
main6-1,talk,minamo,違った？
main6-1,talk,minamo,......
main6-1,fg,survivor05,right-right,0.5,smile
main6-1,talk,minamo,......ふふふ
main6-1,talk,minamo,冗談
main6-1,talk,minamo,......
main6-1,pauseBgm
main6-1,wait,1
main6-1,fg,survivor05,right-right,0.5,default
main6-1,talk,minamo,......まぁ
main6-1,talk,minamo,いいよ
main6-1,playBgm,character05
main6-1,wait,1
main6-1,talk,minamo,探したげる
main6-1,talk,minamo,その......ナツノって子
main6-1,talk,minamo,このスマホが、その子のもんなんだったら......
main6-1,talk,minamo,たぶん、まだ近くにいるだろうし
main6-1,talk,minamo,ま......これも縁だし
main6-1,talk,minamo,旅は道連れ、ね
main6-1,talk,minamo,......
main6-1,fg,survivor05,right-right,0.5,smile
main6-1,talk,minamo,ってことで
main6-1,talk,minamo,うち、<button>ミナモ</button>
main6-1,talk,minamo,......
main6-1,talk,minamo,ほら
main6-1,talk,minamo,名前
main6-1,talk,minamo,呼んでみて？
main6-1,label,request_call
main6-1,waitCall,minamo,input_name,input_ng
main6-1,label,input_ng
main6-1,talk,minamo,......
main6-1,talk,minamo,............
main6-1,jump,request_call
main6-1,label,input_name
main6-1,talk,minamo,......
main6-1,talk,minamo,きみが、そのナツノって子とどういう関係なんか知らんけど......
main6-1,talk,minamo,名前、間違えたら......
main6-1,talk,minamo,許さんよ
main6-1,wait,2
main6-1,pushItem,heal00
main6-1,pushItem,heal00
main6-1,pushItem,biscuit02
main6-1,pushItem,biscuit02
main6-1,end,questSuccess
-,,,
main6-2,bg,scenario30
main6-2,playBgm,character05
main6-2,talk,minamo,いやさ
main6-2,talk,minamo,おらんよ、これは
main6-2,talk,minamo,おらんでしょ......
main6-2,talk,minamo,おらんよ......
main6-2,talk,minamo,ほんとに......
main6-2,talk,minamo,そこそこ歩いたけど
main6-2,talk,minamo,誰かいたっぽい感じすら、全然なし
main6-2,talk,minamo,もう遠くに行っちゃったんかな......
