id,command,arg0<jpn>,arg1<jpn>,arg2,arg3
-,,,
minamo2-1,bg,scenario25
minamo2-1,playBgm,environment00
minamo2-1,talk,natsuno,......
minamo2-1,talk,natsuno,......あ
minamo2-1,talk,natsuno,あそこにいるのって、もしかして......
minamo2-1,talk,natsuno,......
minamo2-1,wait,2
minamo2-1,fadeOut,1
minamo2-1,newPage
minamo2-1,wait,1
minamo2-1,fadeIn,1
minamo2-1,talk,natsuno,......
minamo2-1,talk,natsuno,ねぇ
minamo2-1,talk,natsuno,......
minamo2-1,talk,natsuno,......ミナモ？
minamo2-1,talk,???,......
minamo2-1,wait,1
minamo2-1,fg,survivor05,right-left,1.5
minamo2-1,talk,minamo,............
minamo2-1,talk,minamo,......げ
minamo2-1,talk,natsuno,......
minamo2-1,pauseBgm
minamo2-1,fg,survivor00,right-right,0.5,zito
minamo2-1,talk,natsuno,......『げ』は
minamo2-1,talk,natsuno,さすがに傷つくかも......
minamo2-1,wait,2
minamo2-1,fadeOut,1
minamo2-1,newPage
minamo2-1,wait,1
minamo2-1,playBgm,character05
minamo2-1,fadeIn,1
minamo2-1,talk,minamo,ごめんて
minamo2-1,talk,minamo,ほんまに
minamo2-1,talk,minamo,なんていうか、びっくりしたからさ
minamo2-1,talk,minamo,思わず
minamo2-1,talk,natsuno,......思わず、『げ』？
minamo2-1,talk,minamo,......思わず、『げ』
minamo2-1,talk,natsuno,......
minamo2-1,talk,minamo,......まじでごめん
minamo2-1,talk,natsuno,......
minamo2-1,talk,natsuno,ま、別に
minamo2-1,talk,natsuno,いいけど。ミナモに嫌われてるのは知ってるし
minamo2-1,talk,minamo,めっちゃ根にもつじゃん......
minamo2-1,talk,natsuno,......
minamo2-1,fg,survivor00,right-right,0.5,default
minamo2-1,talk,natsuno,それで
minamo2-1,talk,natsuno,ミナモ、ここで何してたの？
minamo2-1,talk,natsuno,今も、一人でぶらぶら？
minamo2-1,talk,minamo,あー
minamo2-1,talk,minamo,今は、まぁ、うち一人だけど
minamo2-1,talk,minamo,ん－と......
minamo2-1,talk,minamo,ナツノさんと別れた、ちょっとあとかな
minamo2-1,talk,minamo,実は、人と会ってさ
minamo2-1,talk,natsuno,へぇ？
